Product,SKU-Dashes,SKU,Customer,Request For,CustomerID,PrintDisplayName,Copies,Misc Info
S60AI,60-0200-0891-2,60020008912,Canada,Good/Service,,"4 "" Disk Sleeve (Random)-EF",1,'EF' version of label AND Sealed bag label for outside of silver bag over the yellow text
S60 CIP-1,60-0200-2183-2,60020021832,,Good/Service,,"4"" Disk Sleeve (Random)",1,
S65,60-0200-2168-3,60020021683,,Good/Service,,3M ID Bar Code Label BL Zebra,1,
S82,60-0200-1319-3,60020013193,,Good/Service,,3M ID Barcode Label-Green Dot BL Z110,1,Enter BL
S82 US/SG,60-0200-1319-3,60020013193,Micron,Good/Service,,SA-Sleeve Random Micron Z110,1,"Micron only, enter BL"
S82 Japan,60-0200-1319-3,60020013193,Japan Micron,Good/Service,,SA-Sleeve Random Micron Japan,1,"Micron only, enter BL"
PB32A-1,60-0200-2079-2,60020020792,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB32A-1,60-0200-2079-2,60020020792,Micron,Good/Service,,SA-Sleeve Random Micron Z110,1,Micron Only
PB32A-2,80-0014-4510-7,80001445107,Intel,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,Both Labels
PB32A-2,80-0014-4510-7,80001445107,Intel,Good/Service,,Brushlon Sigac (+1) No Ser Zebra,1,Both Labels
PB33A,60-0200-1663-4,60020016634,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB33A-1,60-0200-2131-1,60020021311,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB33A-1,60-0200-2131-1,60020021311,Micron,Good/Service,,SA-Sleeve Random Micron Z110,1,Micron Only
PB33A-1,60-0200-2131-1,60020021311,France,Good/Service,,ST-Sleeve Label Zebra,1,Make BL = 0
PB33A-2,80-0014-4511-5,80001445115,Intel,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,Both Labels
PB33A-2,80-0014-4511-5,80001445115,Intel,Good/Service,,Brushlon Sigac (+1) No Ser Zebra,1,Both Labels
PB33R,60-0200-2153-5,60020021535,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB33R-3,60-0200-2188-1,60020021881,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB33R-3,60-0200-2188-1,60020021881,Singapore Micron,Good/Service,,SA-Sleeve Random Micron Brush Sing Only,1,Micron Only
PB33R-3,60-0200-2188-1,60020021881,Japan or Taiwan Micron,Good/Service,,SA-Sleeve Random Micron Brush JP or TW Only        Micron Only,1,Micron Only
PB33R-4,80-0014-4513-1,80001445131,Intel,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,Both Labels
PB33R-4,80-0014-4513-1,80001445131,Intel,Good/Service,,Brushlon Sigac (+1) No Ser Zebra,1,Both Labels
PB33S-1,60-0200-2170-9,60020021709,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB52A,60-0200-1254-2,60020012542,,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,
PB52A-2,80-0014-4512-3,80001445123,Intel,Good/Service,,"4"" Brushlon (+1) W/O Ser Zebra",1,Both Labels
PB52A-2,80-0014-4512-3,80001445123,Intel,Good/Service,,Brushlon Sigac (+1) No Ser Zebra,1,Both Labels
